indice_tiempo,region_de_destino,origen_pernoctes,pernoctes,observaciones
2009-11-01,Córdoba,No residentes,18332,""
2009-11-01,Litoral,Residentes,345345,""
2009-11-01,Litoral,No residentes,56590,""
2009-11-01,Norte,Residentes,180865,""
2009-11-01,Norte,No residentes,49792,""
2009-11-01,Patagonia,Residentes,368600,""
2009-11-01,Patagonia,No residentes,291174,""
2009-12-01,Buenos Aires,Residentes,540512,""
2009-12-01,Buenos Aires,No residentes,8723,""
2009-12-01,CABA,Residentes,364008,""
2009-12-01,CABA,No residentes,494738,""
2009-12-01,Cuyo,Residentes,210463,""
2009-12-01,Cuyo,No residentes,67030,""
2009-12-01,Córdoba,Residentes,406548,""
2009-12-01,Córdoba,No residentes,19852,""
2009-12-01,Litoral,Residentes,295482,""
2009-12-01,Litoral,No residentes,51474,""
2009-12-01,Norte,Residentes,147678,""
2009-12-01,Norte,No residentes,38174,""
2009-12-01,Patagonia,Residentes,437015,""
2009-12-01,Patagonia,No residentes,304368,""
2010-01-01,Buenos Aires,Residentes,1875866,""
2010-01-01,Buenos Aires,No residentes,18862,""
2010-01-01,CABA,Residentes,318610,""
2010-01-01,CABA,No residentes,513170,""
2010-01-01,Cuyo,Residentes,355232,""
2010-01-01,Cuyo,No residentes,51188,""
2010-01-01,Córdoba,Residentes,936873,""
2010-01-01,Córdoba,No residentes,20087,""
2010-01-01,Litoral,Residentes,457909,""
2010-01-01,Litoral,No residentes,72372,""
2010-01-01,Norte,Residentes,286380,""
2010-01-01,Norte,No residentes,47814,""
2010-01-01,Patagonia,Residentes,874267,""
2010-01-01,Patagonia,No residentes,377460,""
2010-02-01,Buenos Aires,Residentes,1580032,""
2010-02-01,Buenos Aires,No residentes,11254,""
2010-02-01,CABA,Residentes,323542,""
2010-02-01,CABA,No residentes,491556,""
2010-02-01,Cuyo,Residentes,310814,""
2010-02-01,Cuyo,No residentes,70020,""
2010-02-01,Córdoba,Residentes,746934,""
2010-02-01,Córdoba,No residentes,16076,""
2010-02-01,Litoral,Residentes,427417,""
2010-02-01,Litoral,No residentes,67684,""
2010-02-01,Norte,Residentes,223349,""
2010-02-01,Norte,No residentes,44953,""
2010-02-01,Patagonia,Residentes,613014,""
2010-02-01,Patagonia,No residentes,374139,""
2010-03-01,Buenos Aires,Residentes,775939,""
2010-03-01,Buenos Aires,No residentes,4710,""
